episodes,steps,mean 100 episode reward,% time spent exploring
100,202409,7.3,79
200,406853,5.3,59
300,611281,5.7,39
400,815731,5.7,19
500,1020172,7.7,1
600,1224629,7.6,1
700,1429050,6.8,1
800,1633465,5.3,1
900,1837925,6.1,1
1000,2042362,5.7,1
1100,2246781,8.2,1
1200,2451244,7.0,1
1300,2655661,8.2,1
1400,2860103,8.4,1
1500,3064528,6.9,1
1600,3268957,6.5,1
1700,3473372,5.9,1
1800,3677828,6.3,1
1900,3882286,5.8,1
2000,4086754,6.7,1
2100,4291195,7.8,1
2200,4495629,7.9,1
2300,4700102,6.6,1
2400,4904546,7.8,1
2500,5109020,7.5,1
2600,5313427,9.9,1
2700,5517834,7.8,1
2800,5722283,6.9,1
2900,5926720,7.1,1
3000,6131176,10.5,1
3100,6335649,9.3,1
3200,6540109,8.6,1
3300,6744546,7.1,1
3400,6948975,8.5,1
3500,7153422,9.8,1
3600,7357865,9.1,1
3700,7562335,7.7,1
3800,7766754,9.8,1
3900,7971206,7.2,1
4000,8175639,8.0,1
4100,8380054,10.6,1
4200,8584497,10.4,1
4300,8788946,10.6,1
4400,8993396,9.0,1
4500,9197852,9.7,1
4600,9402289,10.5,1
4700,9606690,9.8,1
4800,9811123,12.2,1
