mean 100 episode reward,episodes,steps,% time spent exploring
-20.9,100,76810,92
-20.9,200,154769,84
-20.9,300,235322,76
-20.8,400,315500,68
-20.7,500,397290,60
-20.7,600,479726,52
-20.6,700,565015,44
-20.7,800,649364,35
-20.6,900,736268,27
-20.5,1000,824314,18
-20.3,1100,915782,9
-20.2,1200,1011278,1
-19.0,1300,1128046,1
-19.1,1400,1344056,1
-18.7,1500,1470863,1
-18.2,1600,1700206,1
-17.3,1700,1851676,1
-17.0,1800,2002644,1
-16.8,1900,2156316,1
-15.7,2000,2334684,1
-16.6,2100,2587858,1
-14.6,2200,2763092,1
-14.2,2300,2952498,1
-14.1,2400,3138689,1
-14.1,2500,3323721,1
-15.0,2600,3496843,1
-14.1,2700,3676141,1
-13.9,2800,3861559,1
-11.5,2900,4057109,1
-13.5,3000,4323579,1
-12.7,3100,4511974,1
-10.4,3200,4713084,1
-10.9,3300,4907123,1
-9.2,3400,5123035,1
-11.9,3500,5308359,1
-11.2,3600,5499097,1
-11.4,3700,5689484,1
-9.9,3800,5891675,1
-11.4,3900,6083400,1
-13.8,4000,6248244,1
-11.3,4100,6532256,1
-11.5,4200,6725091,1
-12.0,4300,6912946,1
-9.9,4400,7116815,1
-11.1,4500,7302484,1
-9.9,4600,7503661,1
-10.3,4700,7703402,1
-9.3,4800,7893791,1
-13.2,4900,8160606,1
-8.1,5000,8373523,1
-9.4,5100,8564546,1
-9.0,5200,8761224,1
-9.4,5300,8943035,1
-8.0,5400,9147701,1
-7.5,5500,9354744,1
-7.6,5600,9562994,1
-9.4,5700,9738770,1
-5.8,5800,9940283,1
