episodes,% time spent exploring,mean 100 episode reward,steps
100,98,2.9,16178
200,96,3.3,33783
300,95,2.8,49893
400,93,2.9,65462
500,91,3.0,82528
600,90,3.1,99439
700,88,3.2,116823
800,86,3.3,134167
900,85,3.0,148387
1000,83,3.6,165289
1100,82,3.4,180974
1200,80,4.0,199585
1300,78,3.4,217020
1400,76,3.8,235426
1500,74,4.0,254977
1600,73,3.7,272304
1700,71,4.4,291606
1800,69,3.5,308130
1900,67,3.8,327036
2000,65,4.3,346884
2100,64,3.5,363624
2200,62,3.9,381369
2300,60,3.9,399780
2400,58,4.2,419019
2500,56,3.3,435711
2600,55,3.8,453247
2700,53,3.6,472524
2800,51,3.7,492332
2900,49,3.2,510158
3000,47,3.9,530536
3100,45,4.2,549600
3200,43,5.2,570989
3300,41,3.8,588772
3400,39,4.6,608595
3500,37,5.1,630290
3600,35,4.5,650168
3700,33,4.3,672434
3800,31,4.2,691682
3900,29,5.0,712841
4000,27,4.3,733209
4100,25,4.6,754681
4200,23,4.6,777399
4300,20,4.4,798688
4400,18,4.6,821977
4500,16,4.8,844681
4600,14,4.4,868385
4700,11,4.5,890147
4800,9,5.5,913926
4900,7,4.4,938096
5000,4,4.5,961583
5100,2,4.5,983065
5200,1,6.7,1011060
5300,1,7.9,1038354
5400,1,7.5,1064389
5500,1,7.2,1089179
5600,1,7.8,1115227
5700,1,6.9,1140054
5800,1,6.8,1164633
5900,1,7.6,1189086
6000,1,7.0,1216306
6100,1,6.8,1241784
6200,1,7.4,1266257
6300,1,7.2,1291340
6400,1,6.9,1318505
6500,1,6.7,1344114
6600,1,7.5,1371242
6700,1,8.1,1399562
6800,1,7.8,1424327
6900,1,8.0,1450400
7000,1,7.5,1475384
7100,1,8.1,1502278
7200,1,7.1,1525652
7300,1,7.7,1551211
7400,1,7.5,1576749
7500,1,7.6,1602949
7600,1,7.3,1627917
7700,1,7.4,1656251
7800,1,7.6,1682940
7900,1,8.2,1711306
8000,1,7.6,1738789
8100,1,8.2,1765846
8200,1,8.4,1792997
8300,1,8.5,1818855
8400,1,10.0,1846772
8500,1,8.8,1874494
8600,1,9.2,1901357
8700,1,9.5,1929597
8800,1,8.1,1955524
8900,1,8.6,1983346
9000,1,8.9,2011914
9100,1,7.6,2037854
9200,1,9.0,2065726
9300,1,8.6,2092207
9400,1,9.8,2120794
9500,1,10.2,2151145
9600,1,9.0,2178878
9700,1,10.3,2210272
9800,1,9.0,2238923
9900,1,9.1,2268175
10000,1,7.6,2293849
10100,1,8.8,2323555
10200,1,8.7,2351577
10300,1,9.6,2380801
10400,1,9.1,2409271
10500,1,9.4,2439343
10600,1,9.1,2468054
10700,1,10.7,2498439
10800,1,9.2,2527073
10900,1,9.2,2555026
11000,1,10.6,2587800
11100,1,10.4,2621287
11200,1,10.7,2652574
11300,1,10.1,2682602
11400,1,9.0,2710471
11500,1,11.3,2745279
11600,1,11.4,2778594
11700,1,10.4,2811651
11800,1,11.2,2844502
11900,1,10.6,2876159
12000,1,10.3,2908020
12100,1,10.6,2939546
12200,1,10.7,2970840
12300,1,12.0,3005651
12400,1,10.6,3037559
12500,1,8.8,3064405
12600,1,10.2,3094620
12700,1,9.7,3124065
12800,1,10.6,3154796
12900,1,10.8,3186467
13000,1,11.2,3217870
13100,1,10.7,3248796
13200,1,10.8,3280139
13300,1,10.7,3312359
13400,1,11.4,3347630
13500,1,11.9,3381850
13600,1,13.3,3419506
13700,1,12.4,3456391
13800,1,11.6,3493057
13900,1,12.1,3529064
14000,1,11.7,3563983
14100,1,11.5,3599047
14200,1,11.2,3632305
14300,1,11.6,3665299
14400,1,12.5,3701558
14500,1,12.2,3736634
14600,1,12.1,3771475
14700,1,13.1,3809576
14800,1,14.8,3850976
14900,1,10.7,3885333
15000,1,11.8,3922382
15100,1,11.9,3957030
15200,1,11.8,3991403
15300,1,11.7,4026461
15400,1,12.1,4063251
15500,1,12.8,4100713
15600,1,13.6,4139249
15700,1,13.0,4176830
15800,1,13.1,4214571
15900,1,14.6,4256205
16000,1,12.3,4292701
16100,1,13.1,4332914
16200,1,12.0,4368287
16300,1,12.5,4403823
16400,1,12.3,4439007
16500,1,12.5,4473840
16600,1,12.0,4507568
16700,1,12.8,4544392
16800,1,12.6,4579283
16900,1,12.8,4614823
17000,1,13.3,4653555
17100,1,12.4,4689571
17200,1,12.2,4725343
17300,1,13.9,4765940
17400,1,13.4,4803650
17500,1,13.4,4842195
17600,1,12.8,4879586
17700,1,13.8,4918623
17800,1,14.2,4958807
17900,1,13.1,4996616
18000,1,15.0,5039779
18100,1,14.2,5079599
18200,1,14.2,5118684
18300,1,14.5,5157286
18400,1,13.9,5196743
18500,1,12.3,5233714
18600,1,13.6,5274245
18700,1,13.0,5314128
18800,1,14.1,5354584
18900,1,13.8,5393098
19000,1,13.4,5432116
19100,1,14.2,5472883
19200,1,14.4,5510926
19300,1,14.1,5551212
19400,1,13.9,5590635
19500,1,15.3,5633659
19600,1,14.2,5674028
19700,1,14.8,5716154
19800,1,13.4,5754376
19900,1,13.3,5792408
20000,1,12.7,5828689
20100,1,12.7,5864439
20200,1,14.6,5905444
20300,1,14.3,5945654
20400,1,13.9,5984846
20500,1,13.5,6023089
20600,1,17.2,6069892
20700,1,14.4,6110392
20800,1,16.8,6154629
20900,1,17.2,6198537
21000,1,15.8,6240633
21100,1,15.0,6283085
21200,1,14.3,6323839
21300,1,14.4,6364308
21400,1,15.5,6406840
21500,1,15.3,6449076
21600,1,13.4,6487187
21700,1,14.8,6529044
21800,1,14.2,6567237
21900,1,13.4,6604186
22000,1,15.9,6646852
22100,1,14.5,6686082
22200,1,14.2,6724782
22300,1,14.4,6765478
22400,1,16.4,6809602
22500,1,15.4,6851827
22600,1,13.3,6889532
22700,1,14.3,6932051
22800,1,15.3,6974659
22900,1,15.3,7017399
23000,1,14.4,7056988
23100,1,15.0,7097060
23200,1,16.3,7142121
23300,1,16.8,7187952
23400,1,16.2,7230739
23500,1,16.2,7274949
23600,1,16.2,7319487
23700,1,14.7,7358865
23800,1,14.8,7398615
23900,1,15.6,7439781
24000,1,16.4,7485068
24100,1,16.1,7528927
24200,1,16.6,7573959
24300,1,17.8,7622575
24400,1,16.4,7666652
24500,1,17.8,7711671
24600,1,15.9,7753887
24700,1,16.2,7796665
24800,1,15.4,7838335
24900,1,16.3,7882385
25000,1,17.0,7928773
25100,1,14.9,7970083
25200,1,18.1,8017751
25300,1,16.8,8061554
25400,1,14.8,8102817
25500,1,17.4,8150797
25600,1,15.2,8192690
25700,1,15.8,8236602
25800,1,17.5,8282937
25900,1,16.1,8326990
26000,1,15.4,8368452
26100,1,16.7,8412562
26200,1,17.1,8456612
26300,1,16.5,8499872
26400,1,16.9,8542693
26500,1,14.3,8581274
26600,1,16.5,8625365
26700,1,17.3,8671426
26800,1,15.2,8711673
26900,1,18.4,8758577
27000,1,16.8,8802557
27100,1,19.0,8851172
27200,1,16.7,8895385
27300,1,16.5,8939544
27400,1,17.4,8985894
27500,1,17.9,9034163
27600,1,17.7,9080421
27700,1,15.9,9122365
27800,1,17.2,9167348
27900,1,17.4,9212263
28000,1,17.3,9257829
28100,1,17.6,9302391
28200,1,17.1,9347320
28300,1,18.0,9394978
28400,1,17.2,9441367
28500,1,17.1,9485830
28600,1,18.7,9534476
28700,1,18.7,9583308
28800,1,15.6,9623762
28900,1,17.0,9668593
29000,1,18.7,9718503
29100,1,15.6,9759518
29200,1,15.8,9800653
29300,1,17.0,9843384
29400,1,16.8,9887268
29500,1,17.4,9933544
29600,1,16.8,9977351
